"X","funded_amnt","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","purpose","addr_state","dti","application_type","open_act_il","open_il_12m","open_il_24m","mths_since_recent_bc","tot_hi_cred_lim"
45470,15000,11.06,491.51,"RN","2 years","RENT",90000,"debt_consolidation","WA",4.41,"Individual",1,2,4,62,23520
103048,8000,7.84,250.11,"Manager","10+ years","MORTGAGE",80000,"home_improvement","GA",9.21,"Individual",2,2,2,88,124605
20438,23675,22.35,658.6,"Dental Assistant","10+ years","MORTGAGE",45500,"debt_consolidation","NV",47.82,"Joint App",10,2,4,14,101590
125383,7200,16.91,256.38,"Server","4 years","RENT",60000,"debt_consolidation","FL",9.66,"Individual",1,1,1,9,38292
2228,5000,11.06,163.84,"","n/a","RENT",60000,"debt_consolidation","IN",13.86,"Individual",2,1,1,5,39525
117330,6000,7.21,185.84,"Therapist","10+ years","MORTGAGE",73000,"credit_card","FL",9.75,"Individual",1,1,1,40,95078
37380,40000,10.08,1292.2,"Mortgage Underwriter","2 years","MORTGAGE",90000,"home_improvement","NC",12.45,"Individual",2,2,5,17,270333
40883,16000,18.94,586.02,"","< 1 year","OWN",38481,"credit_card","CO",32.03,"Individual",1,0,0,52,38504
95314,8000,13.56,271.72,"Registered nurse","3 years","OWN",80000,"debt_consolidation","TX",24.18,"Individual",5,1,1,4,288622
104326,30000,18.45,1091.36,"Management Analyst","7 years","MORTGAGE",90000,"debt_consolidation","VA",6.13,"Individual",0,0,0,2,436263
43519,11000,7.21,340.71,"Travel Nurse ","1 year","OWN",60000,"credit_card","OH",11.9,"Individual",3,0,0,1,268482
114090,22000,16.46,540.39,"Superintendent ","8 years","MORTGAGE",103000,"debt_consolidation","LA",20.11,"Individual",3,2,3,40,83265
94577,15000,16.91,534.12,"Manager","10+ years","MORTGAGE",46000,"debt_consolidation","MD",52.91,"Joint App",4,0,0,37,496090
27362,10000,16.14,243.93,"Machine operator","10+ years","MORTGAGE",42000,"debt_consolidation","NJ",5.29,"Individual",0,0,0,4,106850
79026,10300,7.84,322.01,"","< 1 year","RENT",35000,"debt_consolidation","TX",1.13,"Joint App",0,0,0,13,11900
94984,12600,20.89,340.1,"Customer Service Rep","7 years","RENT",33000,"debt_consolidation","MA",8.95,"Individual",0,0,0,17,17600
102190,40000,8.46,1261.97,"Advocate (Wouded Warrior Program","3 years","MORTGAGE",125000,"debt_consolidation","NY",28.37,"Individual",5,0,2,144,376956
78067,8500,10.08,274.6,"QA Tech","5 years","RENT",36000,"credit_card","KS",31.17,"Individual",2,0,1,356,60730
22715,17500,10.08,372.52,"Service Coordinator","4 years","MORTGAGE",65000,"debt_consolidation","NH",15.21,"Individual",1,0,0,40,280240
96963,14000,20.89,526.67,"optician","4 years","RENT",52000,"debt_consolidation","TX",32.84,"Joint App",2,0,2,21,56767
20536,8000,6.67,245.82,"Service technician ","3 years","RENT",55000,"debt_consolidation","CA",19.27,"Individual",2,0,1,17,59855
59328,15000,17.97,380.66,"builder","4 years","OWN",38000,"debt_consolidation","MI",12.1,"Individual",1,1,1,10,34100
92648,12000,16.14,422.72,"mechanic","4 years","RENT",54000,"credit_card","CA",2.42,"Joint App",0,0,0,25,6400
45925,14000,10.47,454.84,"jr mecanic","< 1 year","RENT",48500,"debt_consolidation","NY",26.61,"Individual",2,1,3,12,64372
122441,20000,7.84,625.26,"Triage nurse","5 years","MORTGAGE",140000,"debt_consolidation","NV",19.07,"Individual",2,0,0,6,416342
92152,6000,16.14,211.36,"Real Estate Sales","10+ years","RENT",85000,"debt_consolidation","NV",11.61,"Individual",1,0,1,127,52807
121729,21000,17.47,753.63,"General Sales Manager","7 years","MORTGAGE",188000,"home_improvement","MD",14.33,"Individual",3,1,2,7,104035
115507,13000,6.83,400.4,"","n/a","RENT",56280,"credit_card","CA",22.81,"Individual",1,0,1,7,89718
114686,6000,15.02,208.06,"operations manager","10+ years","RENT",40000,"debt_consolidation","FL",28.47,"Individual",3,0,0,49,50113
124936,20000,6.19,610.17,"Chef","2 years","MORTGAGE",65000,"credit_card","KY",6.17,"Individual",0,0,0,24,201800
22448,5600,19.92,207.89,"mechanic","2 years","RENT",60000,"medical","PA",23.32,"Individual",8,0,2,30,67750
15298,12600,26.31,379.57,"Nurse","5 years","MORTGAGE",50000,"debt_consolidation","WA",44.29,"Joint App",3,2,3,27,379119
15715,1500,12.73,50.35,"Meat Dpt supervisor ","10+ years","MORTGAGE",65000,"home_improvement","FL",17.32,"Individual",2,1,1,39,190076
60359,36000,11.55,1188,"IT Manager","8 years","MORTGAGE",142000,"home_improvement","FL",13.03,"Individual",1,0,0,50,47900
39764,6500,7.84,203.21,"","n/a","RENT",42000,"major_purchase","TX",30.09,"Individual",2,0,1,7,102644
34490,10000,14.47,235.13,"Doctor's Office","4 years","RENT",27000,"other","NJ",3.29,"Joint App",0,0,0,15,12336
23262,35000,8.46,1104.22,"Elevator Operator","10+ years","RENT",55000,"debt_consolidation","NY",16.41,"Individual",1,0,1,200,31600
19793,25000,17.97,903.44,"Programmer Analyst","4 years","RENT",120000,"debt_consolidation","TX",20.97,"Individual",3,0,2,15,142651
76766,20000,10.47,649.77,"","< 1 year","RENT",145000,"debt_consolidation","NY",12.48,"Individual",3,0,0,13,257344
114415,16000,6.11,310.15,"Audiologist","7 years","MORTGAGE",120000,"credit_card","VA",6.21,"Individual",0,1,1,33,469800
51973,13000,7.84,406.42,"Office Manager","6 years","MORTGAGE",40500,"debt_consolidation","MN",26.46,"Individual",3,1,1,6,134034
92419,40000,10.47,859.17,"Quality and Data Specialist","3 years","MORTGAGE",87000,"home_improvement","MN",26.08,"Joint App",1,0,2,11,557930
118320,5500,17.97,198.76,"Insurance Sales","5 years","RENT",2e+05,"debt_consolidation","PA",12.73,"Individual",7,1,4,16,120625
101888,12000,11.55,396,"Bureau Admin ","< 1 year","RENT",60000,"debt_consolidation","CA",16.88,"Individual",2,0,1,8,50708
61935,10000,11.55,220.18,"Delivery Driver","3 years","RENT",25200,"credit_card","MA",15.33,"Individual",1,1,1,35,25145
12571,30000,15.02,714.02,"RN","4 years","RENT",120000,"credit_card","HI",11.26,"Individual",3,1,1,27,70288
96817,10000,13.56,339.65,"RPM/Engineer","1 year","RENT",22000,"credit_card","CA",55.59,"Joint App",2,0,1,14,57516
49237,20000,10.08,425.73,"Facility Engineer","10+ years","MORTGAGE",120000,"debt_consolidation","TX",18.05,"Individual",7,1,2,50,369483
77961,10000,11.55,330,"Nurse Practitioner","< 1 year","MORTGAGE",140000,"home_improvement","CA",10.74,"Individual",2,1,2,2,400071
32790,24000,17.97,867.3,"Record clerk","10+ years","MORTGAGE",53000,"credit_card","OH",34.99,"Joint App",6,1,5,3,273009
39167,30000,12.73,678.46,"Assistant Director of Disability","3 years","MORTGAGE",70000,"credit_card","TX",19.08,"Joint App",1,0,1,90,80286
30312,8000,6.11,243.78,"Psychiatric Social Worker","2 years","RENT",69575,"credit_card","CA",14.68,"Individual",2,1,1,24,144564
114307,16000,25.34,472.82,"medical assistant","5 years","OWN",35000,"debt_consolidation","SC",17.59,"Individual",1,0,0,45,36988
16297,15000,16.91,372.07,"","n/a","OWN",50000,"credit_card","PA",7.15,"Individual",2,2,2,1,40633
100438,20000,12.73,452.31,"Wireman","2 years","MORTGAGE",88000,"debt_consolidation","MD",33.83,"Individual",3,0,1,72,492883
40994,15000,10.47,487.33,"Digital projectors ","10+ years","RENT",52000,"debt_consolidation","WA",19.13,"Individual",0,0,0,23,35000
98579,8400,8.46,265.02,"Teacher","10+ years","MORTGAGE",61000,"credit_card","AZ",2.7,"Individual",0,0,0,89,147927
27553,6000,8.46,189.3,"Rural Carrier","10+ years","MORTGAGE",167000,"car","FL",13.37,"Joint App",3,0,2,13,385431
70462,3000,11.55,99,"","n/a","RENT",14000,"debt_consolidation","NY",26.67,"Individual",1,1,2,1,31900
61776,5000,10.47,162.45,"Safety and Environmental Manager","5 years","MORTGAGE",95000,"other","TX",35.95,"Individual",11,1,3,29,311763
58711,10000,16.91,356.08,"Server","5 years","RENT",45000,"credit_card","MA",13.01,"Individual",1,0,0,4,19918
104845,10000,23.4,389.19,"Owner","10+ years","RENT",120000,"medical","CA",17.65,"Individual",4,2,3,23,99011
126821,10000,7.84,312.63,"Warehouse manager ","2 years","OWN",55000,"debt_consolidation","PA",18.35,"Individual",2,1,1,26,87072
36515,10000,18.94,366.26,"Teacher","2 years","RENT",120000,"debt_consolidation","CA",13.99,"Joint App",3,2,4,18,111422
37695,13000,10.08,419.97,"RADIOLOGIC TECHNOLOGIST","10+ years","RENT",52000,"debt_consolidation","GA",39.81,"Individual",4,2,3,93,100335
57620,6000,17.97,216.83,"Claims ","10+ years","RENT",80000,"car","PA",8.28,"Individual",1,1,1,26,45623
107983,40000,11.55,880.71,"Production Specialist","1 year","MORTGAGE",45000,"debt_consolidation","GA",20.38,"Joint App",1,0,0,6,72331
113718,35000,7.84,707,"RN BSN","10+ years","MORTGAGE",130000,"debt_consolidation","OH",16.07,"Individual",3,1,1,3,314516
75638,25000,10.08,807.62,"Radiographer","6 years","RENT",96000,"debt_consolidation","MI",33.49,"Individual",8,2,4,45,157546
73447,6500,6.67,199.73,"Security Officer","1 year","OWN",18822,"credit_card","NY",10.52,"Individual",0,0,0,23,22600
47764,30000,11.55,660.54,"Driver","9 years","OWN",135000,"debt_consolidation","AL",6.25,"Individual",0,0,0,34,63200
38746,25000,6.67,768.17,"Donation program educator","2 years","MORTGAGE",96000,"debt_consolidation","AZ",22.83,"Individual",3,2,2,42,611192
101822,10000,12.73,226.16,"","n/a","RENT",25000,"debt_consolidation","AL",10.18,"Individual",0,0,0,16,12300
52958,24000,10.08,510.88,"Teacher","10+ years","MORTGAGE",56000,"house","CO",39.48,"Joint App",6,1,2,8,515864
28206,12000,6.67,368.72,"Finance Manager","2 years","MORTGAGE",120000,"other","MI",12.21,"Joint App",3,1,1,6,442729
38128,35000,19.92,925.73,"Business Operations Lead","10+ years","MORTGAGE",107000,"debt_consolidation","WA",24.91,"Individual",3,3,3,146,382626
115673,35000,16.91,1246.28,"Project Site Quality Control Manager","1 year","MORTGAGE",155000,"debt_consolidation","TX",27.25,"Individual",5,0,2,12,319749
80629,15000,7.84,468.94,"FSM","10+ years","MORTGAGE",87125,"credit_card","FL",19.88,"Individual",2,1,3,8,361449
51585,30000,12.73,678.46,"Aviation Resouce Manager","5 years","RENT",65000,"debt_consolidation","NE",12.9,"Individual",2,2,3,56,44825
22276,12000,16.14,422.72,"oilfield","3 years","RENT",80000,"debt_consolidation","CO",21.99,"Individual",3,1,1,28,79744
109653,9000,6.67,276.54," Principal","10+ years","MORTGAGE",84000,"debt_consolidation","CO",17.59,"Individual",8,0,2,22,288157
68787,12000,15.02,285.61,"Security Officer","10+ years","OWN",43228,"credit_card","AZ",34.59,"Individual",2,1,2,22,67307
108133,20000,11.06,655.35,"Driver","10+ years","RENT",95000,"credit_card","NC",19.59,"Individual",2,0,2,60,58913
2160,7200,7.84,225.1,"Corrosion Technician ","5 years","OWN",110000,"home_improvement","NM",21.33,"Individual",4,2,4,32,162348
88240,10000,6.11,193.84,"Teacher/Coach","10+ years","OWN",70000,"debt_consolidation","TX",7.06,"Individual",2,0,1,3,69875
40734,12000,11.06,393.21,"Office manager","2 years","RENT",55000,"credit_card","TX",10.91,"Individual",1,0,0,27,21400
96861,7000,10.47,227.42,"Child Nutrition Manager","10+ years","MORTGAGE",25000,"debt_consolidation","NC",13.3,"Individual",0,0,0,13,22700
82849,30000,14.47,1032.2,"facility engineer","8 years","RENT",85000,"credit_card","NY",17.52,"Individual",1,0,0,3,64264
57574,2800,13.56,95.11,"Mortgage loan Clerk","2 years","RENT",28000,"credit_card","TX",16.72,"Individual",2,0,2,45,35230
341,20000,15.02,476.01,"Correctional Officer","3 years","RENT",42000,"debt_consolidation","KS",8.51,"Individual",0,0,0,11,36800
28336,33425,16.14,815.32,"City carrier","1 year","RENT",50000,"debt_consolidation","NY",23.55,"Individual",3,0,2,10,96864
90978,20000,10.47,649.77,"Caregiver","4 years","RENT",103000,"debt_consolidation","CA",17.44,"Individual",3,1,3,8,76237
52320,20000,6.67,614.53,"Sr Mgr Reporting","10+ years","MORTGAGE",145000,"credit_card","AZ",20.98,"Individual",2,3,3,34,375489
51863,10000,22.35,383.72,"","n/a","RENT",50000,"other","CA",5.59,"Individual",1,1,2,44,6900
101522,10000,8.08,313.74,"delivery driver","10+ years","RENT",50000,"credit_card","MD",10.56,"Individual",0,0,0,6,23600
65234,40000,11.55,1320,"president","10+ years","MORTGAGE",250000,"debt_consolidation","FL",19,"Joint App",3,2,3,7,676952
82046,10000,17.97,361.38,"CTA","10+ years","MORTGAGE",62000,"debt_consolidation","CT",26.42,"Individual",3,0,2,26,231830
54215,10000,7.21,309.74,"Supervisor ","10+ years","RENT",95000,"debt_consolidation","CA",14.17,"Individual",2,0,1,23,62479
48120,18000,18.94,659.27,"Receptionist","5 years","RENT",39000,"debt_consolidation","MA",26.34,"Individual",15,2,3,12,96418
105720,19350,30.79,635.47,"CMO","6 years","MORTGAGE",215000,"debt_consolidation","TX",28.56,"Individual",4,1,2,6,446378
30434,30000,24.37,869.5,"Director of Bldg & Facility Maint","10+ years","MORTGAGE",1e+05,"debt_consolidation","HI",20.83,"Joint App",2,1,6,26,667458
105076,9400,8.46,296.57,"Nurse Practitioner ","2 years","OWN",1e+05,"other","KY",8.57,"Individual",4,2,4,125,285398
36424,8000,14.47,275.26,"Senior Reimbursement Specialist","10+ years","MORTGAGE",42000,"debt_consolidation","TN",5.86,"Individual",0,1,1,17,180800
76255,13000,13.56,441.54,"TRUCK DRIVER","< 1 year","RENT",35000,"debt_consolidation","MO",38.17,"Joint App",3,0,2,4,42985
98204,40000,12.73,904.61,"Manager of Human Resources & Risk","10+ years","RENT",92500,"debt_consolidation","WA",25.09,"Individual",2,3,4,20,202718
113287,24000,17.97,609.06,"Senior Accountant","5 years","OWN",76000,"debt_consolidation","PA",16.3,"Individual",5,6,6,4,403872
63877,2800,7.84,87.54,"Office Manager","10+ years","RENT",147500,"medical","MD",13.78,"Individual",2,0,0,123,81239
27136,8400,19.92,311.84,"Foreman","8 years","RENT",77800,"debt_consolidation","CO",22.54,"Individual",7,2,5,16,96502
12064,25000,6.11,761.8,"Engineer","3 years","MORTGAGE",150000,"debt_consolidation","FL",1.16,"Individual",0,0,0,35,264320
49303,10000,6.67,307.27,"Manager","10+ years","RENT",102000,"credit_card","CA",8.2,"Individual",1,1,1,11,290513
116559,35000,18.94,1281.9,"Registered Nurse","10+ years","MORTGAGE",115000,"credit_card","NY",17.78,"Joint App",2,0,0,54,254749
11867,10000,6.11,304.72,"","n/a","MORTGAGE",29232,"debt_consolidation","CO",18.88,"Joint App",1,0,0,25,487664
50554,8000,16.14,281.81,"","< 1 year","MORTGAGE",95000,"medical","MA",15.56,"Individual",1,0,1,7,372096
86678,4500,8.46,141.98,"Account Manager","2 years","RENT",40000,"debt_consolidation","CA",20.82,"Individual",2,1,2,53,43011
81960,15000,7.21,464.6,"Director of operations","1 year","MORTGAGE",188000,"debt_consolidation","TX",13.07,"Individual",3,2,3,4,527629
11400,20000,11.06,655.35,"Sales Manager","< 1 year","RENT",76000,"credit_card","NH",22.99,"Individual",2,0,1,5,110590
42792,10000,17.97,361.38,"installer","4 years","RENT",36620,"debt_consolidation","NY",5.6,"Individual",0,0,0,31,6800
19226,21200,23.4,825.08,"President","3 years","MORTGAGE",1e+06,"debt_consolidation","FL",2.04,"Individual",1,0,0,1,903693
117045,12000,10.08,387.66,"Hairstylist ","10+ years","RENT",54000,"credit_card","NV",31.58,"Individual",2,1,2,3,83297
81251,40000,6.11,1218.88,"Business Practices & Project Consultant","9 years","MORTGAGE",120000,"credit_card","KS",20.89,"Individual",2,0,1,23,265696
9931,3200,6.11,97.51,"Registered Nurse","10+ years","MORTGAGE",87000,"vacation","FL",8.86,"Individual",1,1,1,79,382963
68786,28000,15.02,666.42,"warehouse lead","4 years","RENT",62000,"credit_card","CA",28.53,"Individual",2,0,1,32,102336
48933,6000,10.08,193.83,"Assistant Food Service Director","10+ years","OWN",62669,"home_improvement","NJ",15.07,"Individual",2,1,2,17,89676
76227,6000,10.08,193.83,"Framer","3 years","RENT",40000,"credit_card","AZ",7.18,"Individual",0,0,0,18,26500
123766,40000,7.84,808,"Sneior Advisor Business Enterprise","10+ years","MORTGAGE",175000,"debt_consolidation","MD",23.98,"Individual",4,0,0,23,186438
104831,40000,11.06,870.9,"Director of Sales","5 years","OWN",180000,"credit_card","IL",20.89,"Individual",3,2,3,21,652198
34682,4200,16.14,147.95,"","n/a","RENT",17232,"debt_consolidation","GA",16.78,"Individual",1,1,3,3,4093
87562,3200,19.92,118.8,"customer service","10+ years","MORTGAGE",65000,"other","OK",25.92,"Individual",3,0,1,33,134074
9292,20000,13.56,460.82,"","n/a","MORTGAGE",60000,"credit_card","MI",28.84,"Individual",5,0,0,28,145807
102255,20000,20.89,752.38,"","n/a","MORTGAGE",40000,"home_improvement","TX",23.67,"Individual",1,1,1,7,79240
95979,6000,13.56,203.79,"teacher","9 years","RENT",71000,"medical","IL",22.63,"Individual",2,1,1,12,44223
39261,20000,11.55,660,"Sanding Operator","3 years","RENT",50000,"debt_consolidation","MI",13.15,"Individual",0,0,0,19,24700
103852,8000,12.73,268.52,"Salon Manager","3 years","RENT",47000,"debt_consolidation","FL",20.21,"Individual",2,1,2,18,31668
816,13000,6.67,255.4,"Customer Service ","1 year","MORTGAGE",94000,"debt_consolidation","IL",13.62,"Individual",3,1,2,7,127176
10376,20000,18.94,732.52,"Finance Manager","5 years","MORTGAGE",85000,"home_improvement","CT",16.01,"Individual",4,3,6,46,234760
10416,21000,6.11,407.07,"Chief Dispatcher ","10+ years","MORTGAGE",70000,"credit_card","GA",20.59,"Individual",5,0,0,31,221083
61874,3000,14.47,103.22,"Librarian","6 years","MORTGAGE",54000,"house","MI",29.47,"Individual",3,1,1,60,141440
88763,30000,16.14,731.78,"Teacher","10+ years","OWN",90000,"debt_consolidation","NY",14.33,"Individual",2,0,1,28,101824
25628,16000,16.91,396.87,"Dept. Manager","7 years","MORTGAGE",58000,"debt_consolidation","GA",19.06,"Individual",2,3,5,3,34494
28522,24000,12.73,542.77,"owner","10+ years","RENT",72000,"credit_card","CA",29.98,"Individual",3,0,0,10,81275
36633,5300,6.67,162.86,"Senior Account Manager","7 years","RENT",51750,"debt_consolidation","CA",28.97,"Individual",6,2,2,58,100350
105195,7500,15.02,260.07,"secretart","10+ years","MORTGAGE",46800,"debt_consolidation","SC",38.13,"Individual",3,1,3,12,200690
23450,24000,13.56,552.98,"Inventory management specialist ","7 years","RENT",58932,"credit_card","NC",20.4,"Individual",1,1,1,44,51899
7416,2500,6.67,76.82,"Concierge Supervisor","6 years","RENT",58000,"debt_consolidation","NV",2.4,"Individual",0,0,0,6,23700
6454,15000,11.55,495,"Nurse Manager ","3 years","MORTGAGE",103000,"home_improvement","NY",33.55,"Joint App",4,2,2,15,326559
20217,25000,15.02,595.02,"Loan Officer Assistant ","8 years","MORTGAGE",65000,"credit_card","VA",23.84,"Individual",3,1,3,6,288290
52431,40000,6.11,1218.88,"","n/a","MORTGAGE",23160,"debt_consolidation","FL",55.96,"Joint App",0,0,0,23,431500
48993,9000,11.06,294.91,"Linguist","3 years","RENT",50000,"moving","MN",24.65,"Individual",19,3,4,51,153582
25727,22000,10.08,710.71,"","< 1 year","MORTGAGE",118488,"debt_consolidation","TN",10.23,"Individual",1,0,1,21,53570
66649,14000,16.91,347.26,"Nurse - Registered Nurse (RN)","2 years","RENT",90000,"debt_consolidation","TX",31.52,"Individual",5,3,4,36,269708
55979,17000,11.55,561,"Nuclear Control Room Operator","9 years","MORTGAGE",137300,"debt_consolidation","VA",16.62,"Individual",7,2,2,5,465744
59399,20000,6.11,609.44,"District Manager","6 years","MORTGAGE",160000,"debt_consolidation","PA",10.01,"Individual",2,2,2,12,458109
84663,35000,16.91,868.15,"School Psychologist","10+ years","MORTGAGE",80000,"credit_card","AZ",32.49,"Joint App",3,0,0,1,182636
96786,13000,6.11,396.14,"Teacher","< 1 year","OWN",40000,"credit_card","CA",13.86,"Individual",6,0,0,25,34500
102517,25000,7.21,774.34,"assistant budget director","10+ years","MORTGAGE",129000,"credit_card","GA",20.23,"Joint App",1,0,0,22,805177
48146,25000,16.14,880.66,"owner","10+ years","OWN",60000,"debt_consolidation","NY",27.42,"Individual",1,1,1,7,219715
96891,13000,7.84,406.42,"Diet clerk","10+ years","RENT",45000,"debt_consolidation","MN",21.01,"Individual",2,0,1,29,43369
62424,30000,22.35,1151.16,"Machnic","2 years","RENT",38000,"debt_consolidation","AR",16.36,"Individual",2,1,2,6,26546
12565,10000,11.06,327.68,"Psychiatric Nursing Supervisor","2 years","OWN",98000,"credit_card","TX",2.35,"Individual",0,0,0,2,11900
62654,25000,24.37,985.69,"Service Delivery Coordinator","4 years","RENT",70000,"debt_consolidation","CA",30.34,"Individual",9,0,0,29,111487
48189,10000,14.47,235.13,"conductor","2 years","RENT",80000,"debt_consolidation","NY",4.67,"Individual",1,0,1,34,10000
